Date,Open,High,Low,Close,Change,Chg,Volume,VWAP,IV30,Chg2,Volume,Call,Put
4/19/2018,124.04,124.52,123.18,124.06,-0.40_,-0.30%,"3,656,957",123.93,25.9,6.90%,"13,767",52.80%,47.20%
4/18/2018,123.53,124.74,122.23,124.46,+1.11_,0.90%,"4,321,753",124.02,24.3,2.30%,"20,687",82.80%,17.20%
4/17/2018,120.4,123.86,120.01,123.35,+3.94_,3.30%,"5,524,566",122.51,23.7,-3.40%,"25,712",53.80%,46.20%
4/16/2018,120.95,120.98,118.66,119.41,+0.40_,0.30%,"4,464,686",119.6,24.6,-4.10%,"11,918",52.60%,47.40%
4/13/2018,121.94,121.94,118.5,119.01,-2.39_,-2.00%,"4,933,058",119.42,25.6,4.70%,"22,787",44.50%,55.50%
4/12/2018,120,121.73,119.34,121.4,+2.24_,1.90%,"4,419,885",120.77,24.5,-5.10%,"13,894",54.00%,46.00%
4/11/2018,119.33,120.71,118.87,119.16,-0.33_,-0.30%,"3,059,409",119.68,25.8,-4.10%,"13,868",57.40%,42.60%
4/10/2018,118.92,120.12,117.68,119.49,+2.30_,2.00%,"3,761,181",119.08,26.9,-1.40%,"9,994",68.90%,31.10%
4/9/2018,117.14,119.23,117.14,117.19,+1.09_,0.90%,"4,104,150",118.27,27.3,-5.70%,"10,049",51.80%,48.20%
4/6/2018,118.1,118.98,114.95,116.1,-2.94_,-2.50%,"5,385,492",116.88,28.9,9.70%,"21,647",64.00%,36.00%
4/5/2018,120.4,121.04,118.67,119.04,-0.44_,-0.40%,"5,052,398",119.7,26.4,1.20%,"15,574",66.90%,33.10%
4/4/2018,114.06,119.68,114,119.48,+2.99_,2.60%,"6,389,309",117.38,26.1,-7.60%,"16,015",66.00%,34.00%
4/3/2018,116.76,117.45,114.6,116.49,+1.19_,1.00%,"5,193,332",115.87,28.2,-6.30%,"10,745",59.60%,40.40%
4/2/2018,115.91,117.68,113.61,115.3,-1.00_,-0.90%,"6,461,251",114.97,30.1,10.30%,"15,539",64.70%,35.30%
3/29/2018,113.91,117.26,112.52,116.3,+3.42_,3.00%,"7,794,691",115.25,27.3,-7.70%,"56,794",79.90%,20.10%
3/28/2018,113.15,114.86,111.34,112.88,-0.93_,-0.80%,"6,489,512",113.21,29.5,-1.10%,"33,644",53.80%,46.20%
3/27/2018,120.09,120.16,112.71,113.81,-5.16_,-4.30%,"8,304,669",116.15,29.9,17.80%,"21,318",62.60%,37.40%
3/26/2018,118.24,119.26,115.04,118.97,+4.54_,4.00%,"13,171,665",117.02,25.4,-4.60%,"30,011",61.40%,38.60%
3/23/2018,118.01,118.31,114.31,114.43,-3.61_,-3.10%,"10,902,124",116.22,26.6,8.50%,"44,516",69.80%,30.20%
